iso_code,Location,Date,Total cases,New cases,Total deaths,New deaths,Total tests,Total vaccinations
KHM,Cambodia,2020/01/27,1,1,,,,
KHM,Cambodia,2020/01/28,1,0,,,,
KHM,Cambodia,2020/01/29,1,0,,,,
KHM,Cambodia,2020/01/30,1,0,,,,
KHM,Cambodia,2020/01/31,1,0,,,,
KHM,Cambodia,2020/02/01,1,0,,,,
KHM,Cambodia,2020/02/02,1,0,,,,
KHM,Cambodia,2020/02/03,1,0,,,,
KHM,Cambodia,2020/02/04,1,0,,,,
KHM,Cambodia,2020/02/05,1,0,,,,
KHM,Cambodia,2020/02/06,1,0,,,,
KHM,Cambodia,2020/02/07,1,0,,,,
KHM,Cambodia,2020/02/08,1,0,,,,
KHM,Cambodia,2020/02/09,1,0,,,,
KHM,Cambodia,2020/02/10,1,0,,,,
KHM,Cambodia,2020/02/11,1,0,,,,
KHM,Cambodia,2020/02/12,1,0,,,,
KHM,Cambodia,2020/02/13,1,0,,,,
KHM,Cambodia,2020/02/14,1,0,,,,
KHM,Cambodia,2020/02/15,1,0,,,,
KHM,Cambodia,2020/02/16,1,0,,,,
KHM,Cambodia,2020/02/17,1,0,,,,
KHM,Cambodia,2020/02/18,1,0,,,,
KHM,Cambodia,2020/02/19,1,0,,,,
KHM,Cambodia,2020/02/20,1,0,,,,
KHM,Cambodia,2020/02/21,1,0,,,,
KHM,Cambodia,2020/02/22,1,0,,,,
KHM,Cambodia,2020/02/23,1,0,,,,
KHM,Cambodia,2020/02/24,1,0,,,,
KHM,Cambodia,2020/02/25,1,0,,,,
KHM,Cambodia,2020/02/26,1,0,,,,
KHM,Cambodia,2020/02/27,1,0,,,,
KHM,Cambodia,2020/02/28,1,0,,,,
KHM,Cambodia,2020/02/29,1,0,,,,
KHM,Cambodia,2020/03/01,1,0,,,,
KHM,Cambodia,2020/03/02,1,0,,,,
KHM,Cambodia,2020/03/03,1,0,,,,
KHM,Cambodia,2020/03/04,1,0,,,,
KHM,Cambodia,2020/03/05,1,0,,,,
KHM,Cambodia,2020/03/06,1,0,,,,
KHM,Cambodia,2020/03/07,1,0,,,,
KHM,Cambodia,2020/03/08,2,1,,,,
KHM,Cambodia,2020/03/09,2,0,,,,
KHM,Cambodia,2020/03/10,2,0,,,,
KHM,Cambodia,2020/03/11,3,1,,,,
KHM,Cambodia,2020/03/12,3,0,,,,
KHM,Cambodia,2020/03/13,5,2,,,,
KHM,Cambodia,2020/03/14,7,2,,,,
KHM,Cambodia,2020/03/15,7,0,,,,
KHM,Cambodia,2020/03/16,7,0,,,,
KHM,Cambodia,2020/03/17,33,26,,,,
KHM,Cambodia,2020/03/18,35,2,,,,
KHM,Cambodia,2020/03/19,37,2,,,,
KHM,Cambodia,2020/03/20,51,14,,,,
KHM,Cambodia,2020/03/21,53,2,,,,
KHM,Cambodia,2020/03/22,84,31,,,,
KHM,Cambodia,2020/03/23,87,3,,,,
KHM,Cambodia,2020/03/24,91,4,,,,
KHM,Cambodia,2020/03/25,96,5,,,,
KHM,Cambodia,2020/03/26,96,0,,,,
KHM,Cambodia,2020/03/27,99,3,,,,
KHM,Cambodia,2020/03/28,99,0,,,,
KHM,Cambodia,2020/03/29,103,4,,,,
KHM,Cambodia,2020/03/30,107,4,,,,
KHM,Cambodia,2020/03/31,109,2,,,,
KHM,Cambodia,2020/04/01,109,0,,,,
KHM,Cambodia,2020/04/02,110,1,,,,
KHM,Cambodia,2020/04/03,114,4,,,,
KHM,Cambodia,2020/04/04,114,0,,,,
KHM,Cambodia,2020/04/05,114,0,,,,
KHM,Cambodia,2020/04/06,114,0,,,,
KHM,Cambodia,2020/04/07,115,1,,,,
KHM,Cambodia,2020/04/08,117,2,,,,
KHM,Cambodia,2020/04/09,119,2,,,,
KHM,Cambodia,2020/04/10,119,0,,,,
KHM,Cambodia,2020/04/11,120,1,,,,
KHM,Cambodia,2020/04/12,122,2,,,,
KHM,Cambodia,2020/04/13,122,0,,,,
KHM,Cambodia,2020/04/14,122,0,,,,
KHM,Cambodia,2020/04/15,122,0,,,,
KHM,Cambodia,2020/04/16,122,0,,,,
KHM,Cambodia,2020/04/17,122,0,,,,
KHM,Cambodia,2020/04/18,122,0,,,,
KHM,Cambodia,2020/04/19,122,0,,,,
KHM,Cambodia,2020/04/20,122,0,,,,
KHM,Cambodia,2020/04/21,122,0,,,,
KHM,Cambodia,2020/04/22,122,0,,,,
KHM,Cambodia,2020/04/23,122,0,,,,
KHM,Cambodia,2020/04/24,122,0,,,,
KHM,Cambodia,2020/04/25,122,0,,,,
KHM,Cambodia,2020/04/26,122,0,,,,
KHM,Cambodia,2020/04/27,122,0,,,,
KHM,Cambodia,2020/04/28,122,0,,,,
KHM,Cambodia,2020/04/29,122,0,,,,
KHM,Cambodia,2020/04/30,122,0,,,,
KHM,Cambodia,2020/05/01,122,0,,,,
KHM,Cambodia,2020/05/02,122,0,,,,
KHM,Cambodia,2020/05/03,122,0,,,,
KHM,Cambodia,2020/05/04,122,0,,,,
KHM,Cambodia,2020/05/05,122,0,,,,
KHM,Cambodia,2020/05/06,122,0,,,,
KHM,Cambodia,2020/05/07,122,0,,,,
KHM,Cambodia,2020/05/08,122,0,,,,
KHM,Cambodia,2020/05/09,122,0,,,,
KHM,Cambodia,2020/05/10,122,0,,,,
KHM,Cambodia,2020/05/11,122,0,,,,
KHM,Cambodia,2020/05/12,122,0,,,,
KHM,Cambodia,2020/05/13,122,0,,,,
